"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"9447",661432196572063488,2058,"rental","Sisli",4,2,3,2,4.83,6,2,"f","1","1","1","0","0","1","0","0","1","0","0"
"9448",661477407468449024,762,"rental","Beyoglu",2,1,4,1,5,3,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"9449",661501072579704192,1791,"apartment","Sisli",4,1,2,1,4.33,3,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"9450",661520001429695872,1871,"rental","Avcilar",5,1,7,3,4.83,0,2,"f","1","0","0","0","0","0","0","0","0","0","0"
"9451",661547844878672000,2994,"apartment","Sisli",6,3,30,4,4.83,0,2,"f","1","1","1","0","0","1","1","0","1","0","1"
"9452",661569984324284544,1216,"apartment","Sisli",3,1,30,1,4.83,0,1,"t","1","1","1","0","0","1","1","0","0","0","1"
"9453",661580565762910976,1143,"rental","Maltepe",4,1,2,3,4.67,3,2,"f","1","1","1","0","0","1","0","0","1","0","1"
"9454",661637579105747456,936,"rental","Beyoglu",2,1,2,1,3.4,5,1,"t","1","0","0","0","0","1","0","0","0","0","0"
"9455",661663678842874496,1494,"rental","Beyoglu",5,1,2,3,2.25,4,2,"t","1","0","1","0","0","0","0","0","0","0","0"
"9456",661668444197551104,2160,"rental","Beyoglu",5,1,2,2,5,3,2,"f","1","1","1","0","0","0","0","0","1","0","0"
"9457",661882873356673408,2037,"rental","Beyoglu",4,1,2,2,4.57,7,2,"f","1","1","1","0","0","0","0","0","1","0","0"
"9458",661913866185089792,1230,"apartment","Bakirkoy",2,1,10,1,4.6,5,1,"f","1","0","1","0","0","0","0","0","1","0","1"
"9459",661939410403049984,1250,"rental","Kadikoy",4,1,5,2,5,1,2,"f","1","1","0","0","0","1","0","0","0","1","0"
"9460",661969127508795264,445,"rental","Eyup",5,1,2,3,4.25,4,1,"f","1","1","0","0","0","1","1","0","0","0","0"
"9461",661981175772897792,1100,"rental","Sisli",2,1,2,1,4.83,0,1,"t","1","0","0","0","0","0","0","0","0","0","0"
"9462",661981330455044224,1100,"rental","Besiktas",4,1,3,3,5,7,2,"t","1","1","0","0","0","1","0","0","1","0","0"
"9463",662003567333428992,1000,"apartment","Esenyurt",2,1,3,1,4.83,0,1,"t","1","1","1","0","0","0","1","0","1","0","1"
"9464",662027841548222208,1681,"rental","Beyoglu",2,1,2,1,4,6,1,"t","1","0","0","0","0","0","0","0","0","0","0"
"9465",662080599372762240,3350,"rental","Fatih",6,2,10,6,4.83,0,2,"f","1","0","1","0","0","0","0","0","0","0","0"
"9466",662105251217065344,1370,"rental","Beyoglu",2,1,1,1,4.6,5,1,"f","1","1","0","0","0","0","0","0","1","0","0"
"9467",662109606994619264,1029,"rental","Sisli",4,1.5,2,2,4.5,2,1,"f","1","1","1","0","0","1","1","0","1","1","0"
"9468",662124035258284672,1571,"rental","Kucukcekmece",4,1,5,2,4.83,0,1,"f","1","1","1","0","0","1","1","0","1","0","0"
"9469",662124957568379392,850,"rental","Fatih",2,1,1,2,4.65,17,1,"t","1","1","0","0","0","1","1","0","0","0","0"
"9470",662152222964967040,1021,"rental","Kadikoy",4,1.5,1,1,5,1,1,"t","1","0","0","0","0","0","0","0","0","0","0"
"9471",662161035368605952,909,"rental","Kadikoy",2,1,11,1,4.5,4,1,"f","1","1","1","0","0","1","0","0","1","0","0"
"9472",662173906485782784,1286,"rental","Kadikoy",3,1.5,1,1,5,4,1,"f","1","0","0","0","0","0","0","0","0","0","0"
"9473",662188390486484096,4117,"rental","Gaziosmanpasa",6,2,4,6,4.83,0,3,"t","1","1","1","0","0","0","1","0","1","1","0"
"9474",662194662608675968,1952,"rental","Besiktas",3,1,1,1,4.83,0,1,"f","1","1","0","0","0","1","0","0","1","1","0"
"9475",662199571294932736,1200,"rental","Fatih",2,1,30,1,4.83,0,1,"t","0","0","0","0","0","0","0","0","0","0","0"
"9476",662213696959753344,1104,"rental","Beylikduzu",5,2,3,3,4.75,8,2,"f","1","1","0","0","0","1","1","0","1","0","0"
"9477",662231313526837760,1998,"rental","Besiktas",4,1,4,2,5,8,2,"t","1","1","0","0","1","1","0","0","1","0","0"
"9478",662300237539561984,1281,"rental","Sisli",3,1,7,1,4.5,4,1,"f","1","1","1","0","0","1","0","0","0","0","0"
"9479",662321570511955584,829,"rental","Kadikoy",3,1,1,1,2.67,3,1,"f","1","1","0","0","0","0","0","0","1","0","0"
"9480",662324386675194368,1347,"rental","Besiktas",3,1,2,4,4.81,21,1,"f","1","1","0","0","0","1","0","0","1","0","0"
"9481",662331098057687168,1871,"rental","Sisli",4,1.5,20,3,5,1,2,"t","1","1","1","0","0","1","0","0","1","0","0"
"9482",662342537299780224,999,"rental","Kadikoy",3,1,2,1,5,2,1,"f","1","0","1","0","0","0","0","0","0","0","0"
"9483",662381298838008704,1036,"rental","Kadikoy",4,1,1,1,4.2,5,1,"f","1","0","0","0","0","0","0","0","0","0","0"
